ID;sequence;note;roadmap_ID;tour_ID
99999999-0000-0000-0000-000000000001;1;Tour 1;88888888-8888-8888-8888-888888888803;66666666-6666-6666-6666-666666666601
99999999-0000-0000-0000-000000000002;2;Tour 2;88888888-8888-8888-8888-888888888803;66666666-6666-6666-6666-666666666602
99999999-0000-0000-0000-000000000003;3;Tour 3;88888888-8888-8888-8888-888888888803;66666666-6666-6666-6666-666666666603
99999999-0000-0000-0000-000000000004;1;Tour 1;88888888-8888-8888-8888-888888888804;66666666-6666-6666-6666-666666666604
99999999-0000-0000-0000-000000000005;2;Tour 2;88888888-8888-8888-8888-888888888804;66666666-6666-6666-6666-666666666605
99999999-0000-0000-0000-000000000021;1;Collecte carton 10 KG - Hall principal;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666621
99999999-0000-0000-0000-000000000022;2;Collecte carton 8 KG - Zone quais;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666622
99999999-0000-0000-0000-000000000023;3;Collecte carton 12 KG - Zone bureaux;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666623
99999999-0000-0000-0000-000000000024;4;Collecte carton 6 KG - Zone restauration;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666624
99999999-0000-0000-0000-000000000021;1;Collecte carton 10 KG - Hall principal;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666621
99999999-0000-0000-0000-000000000022;2;Collecte carton 8 KG - Zone quais;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666622
99999999-0000-0000-0000-000000000023;3;Collecte carton 12 KG - Zone bureaux;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666623
99999999-0000-0000-0000-000000000024;4;Collecte carton 6 KG - Zone restauration;88888888-8888-8888-8888-888888888821;66666666-6666-6666-6666-666666666624
